,User,Text,Date,Hashtags
604,UmarKhalidJNU,"Will the discourse of communal hatred, by any chance provide us with more ventilators, ICUs, more testing kits, protective gear for doctors or economic relief for those affected by the lockdown? If it does then please go ahead with your dirty job! #COVID19",2020-03-31 21:52:07+00:00,#COVID19
605,AcesoHealthLtd,Everyone has felt the pressure immensely with stage 4 lockdown and in such a short space of time. Our client @compasshealthnz change their way of working in just one week. @HINZ_NZ @ehealthnewsnz #covid19 #covid19nz #telehealth #healthit,2020-03-31 21:52:05+00:00,#covid19 #covid19nz #telehealth #healthit
606,Carlwilks2011,"@Humberbeat Why are we not seeing more police on the outskirts of the city.North road etc,constantly large gangs walk by.When are the social distancing &amp; lockdown going to be enforced..As certain members of the public think the rules don't apply to them #StopTheSpread #COVID19",2020-03-31 21:52:02+00:00,#StopTheSpread #COVID19
607,EllaWil60384964,I hope all my fellow Fancy babies are doing ok with this lockdown hope u all stay safe through this pandemic love youu all #TheLockdown #COVID19 #FancyBabysthroughLockdown ,2020-03-31 21:51:49+00:00,#TheLockdown #COVID19 #FancyBabysthroughLockdown
608,HarryOxford6,#lockdown #COVID19 #StaySafe #coronavirusuk #CoronavirusUSA #writingcommunity #globalpattern #CoronaLockdown #SelfIsolation #COVID19 #NHSuk,2020-03-31 21:51:43+00:00,#lockdown #COVID19 #StaySafe #coronavirusuk #CoronavirusUSA #writingcommunity #globalpattern #CoronaLockdown #SelfIsolation #COVID19 #NHSuk
609,LAjuliemccoy,"I’ve been eating healthy and working out every day since lockdown. But when the PMS hits, and it IS going to hit… Lock down all your food, people. Because it’s gonna be epic. #LosAngelesLockdown #COVID19 #coronavirus",2020-03-31 21:51:41+00:00,#LosAngelesLockdown #COVID19 #coronavirus
610,Treasure190,#COVID19 #TheLockdown #Coronavirustruth #StayAtHome #lockdown #COVIDー19 #COVID #,2020-03-31 21:51:36+00:00,#COVID19 #TheLockdown #Coronavirustruth #StayAtHome #StayAtHome #lockdown #COVID #COVID
611,CBCAdrianH,"Coming up on @CBC OTTAWA at 6: Multiple sources say that the Ottawa Carleton Detention Centre was on lockdown yesterday and today. My conversation with Justin Piche, @uOttawa Criminology Professor &amp; prisoners’ rights advocate, about the effect of #COVID19 on Canada’s #prisons.",2020-03-31 21:51:32+00:00,#COVID19 #prisons
612,robyndoesyoga,Ok sourdough starter is the next banana bread. Double points if you guess the next trend #COVID19 #lockdown,2020-03-31 21:51:28+00:00,#COVID19 #lockdown
613,BryanSauvadet,Ma famille est partie au marché cet après-midi pour se ravitailler. Belle cohue à #saigon même si je sens les Vietnamiens bien mieux préparés que nous.. #COVID19 #Vietnam #lockdown ,2020-03-31 21:51:24+00:00,#saigon #COVID19 #Vietnam #lockdown
614,Citi973,COVID-19 lockdown: Soldiers on humanitarian operation but must not be provoked – Nitiwul |More here: https://bit.ly/2w1PGS7 #CitiNewsroom #COVID19 #coronavirus,2020-03-31 21:51:09+00:00,#CitiNewsroom #COVID19 #coronavirus
615,CitiTVGH,COVID-19 lockdown: Soldiers on humanitarian operation but must not be provoked – Nitiwul |More here: https://bit.ly/2w1PGS7 #CitiNewsroom #COVID19 #Coronavirus,2020-03-31 21:51:04+00:00,#CitiNewsroom #COVID19 #Coronavirus
616,mrphoto,Obvious why #Covid19 is spreading so fast in the #US - flights! Compare with the UK #aircraft #lockdown #isolation #restriction,2020-03-31 21:50:57+00:00,#Covid19 #US #aircraft #lockdown #isolation #restriction
617,am_cronin,"Day 4 ""Lockdown"" Clountreem a slightly different view today looking towards the east into Rerrin on Bere Island. On the other direction the harbor's mouth with a helicopter flying over #Castletownbere #Beara @wildatlanticway #COVID19 ",2020-03-31 21:50:53+00:00,#Castletownbere #Beara #COVID19
618,_JAI_BAHRA_,This lockdown is preventing me from finding my future girlfriend...not happy #COVID19,2020-03-31 21:50:49+00:00,#COVID19
619,Majory_T,"Anyone think that we’re not going far enough with lockdown measures? People are still not taking this seriously, so where does this leave this? #COVID19 #JustAsking #teacherwithoutaclass",2020-03-31 21:50:16+00:00,#COVID19 #JustAsking #teacherwithoutaclass
620,Madeknown1,"LOCKDOWN DAY 1 Recreate my @myaccessbank debit card in cinema4d. Stay at home, stay cashless, sharpen the saw! Animation loading... @myaccessbank @access_more #TheLockdown #COVID19 @SchoolOfMotion @maxon3d @Adobe",2020-03-31 21:50:13+00:00,#TheLockdown #COVID19
621,abdullahsh690,Han bhaee rishte kai liye tayyar hun ammi nai roti jharoo sab sikha di #lockdown #COVID19,2020-03-31 21:49:56+00:00,#lockdown #COVID19
