,User,Text,Date,Hashtags
6144,et_cfo,Lockdown day 6: Just another day but challenges across industries rise #Lockdown #CoronavirsPandemic #Covid19 #NarendraModi #GST #IncomeTax #FinancialYear,2020-03-31 12:33:38+00:00,#Lockdown #CoronavirsPandemic #Covid19 #NarendraModi #GST #IncomeTax #FinancialYear
6145,HumAngle_,"#COVID19 Lockdown: Nigerians Flee Abuja, Lagos In Large Numbers ",2020-03-31 12:33:34+00:00,#COVID19
6146,pikiran_rakyat,"Sebut Lockdown Membunuh Lapangan Pekerjaan, Presiden Brazil Minta Warga Kembali Bekerja #Lockdown #COVID19 #Brazil Selengkapnya: https://tasikmalaya.pikiran-rakyat.com/internasional/pr-06358827/sebut-lockdown-membunuh-lapangan-pekerjaan-presiden-brazil-minta-warga-kembali-bekerja",2020-03-31 12:33:33+00:00,#Lockdown #COVID19 #Brazil
6147,mercurymagicia1,He was running around though which might explain his “slightly raised temperature”... @NHSuk #COVID19 #lockdown ,2020-03-31 12:33:29+00:00,#COVID19 #lockdown
6148,youthclubpk,Find Out How To Take Mosques Digital During The Lockdown LIVE right now on YouTube: https://youtu.be/-mkiSrfACdA (Share with all your mosque contacts) #Covid19 #CoronaVirus #VirtualMosques,2020-03-31 12:33:24+00:00,#Covid19 #CoronaVirus #VirtualMosques
6149,SACoronaMonitor,What to do if you show symptoms? | CORONAVIRUS MONITOR https://www.coronavirusmonitor.co.za/breaking-news/what-to-do-if-you-show-symptoms/ #Day5 #lockdown #COVID19,2020-03-31 12:33:22+00:00,#Day5 #lockdown #COVID19
6150,tadiodi,It should be http://expected.How could the traders raise prices overnight to profitier in the name of lockdown consequent upon COVID 19.That is wickedness in earthly places to frustrate people and diminish their purchasing power. Partners of COVID19 deserve COVID 19 treatment,2020-03-31 12:33:22+00:00,
6151,Conveying101,Find Out How To Take Mosques Digital During The Lockdown LIVE right now on YouTube: https://youtu.be/-mkiSrfACdA (Share with all your mosque contacts) #Covid19 #CoronaVirus #VirtualMosques,2020-03-31 12:33:13+00:00,#Covid19 #CoronaVirus #VirtualMosques
6152,BangaloreMirror,The ministry reiterated to maintain social distancing and not violate lockdown to ensure a win over the battle against the deadly #COVID19. ,2020-03-31 12:32:57+00:00,#COVID19
6153,pmharriskn,"The Cabinet has determined after consultation that there be a 24 hour curfew, a total lockdown, from 7pm Tuesday, 31st March to 6am Friday, 3rd April in the first instance due to #COVID19 https://www.facebook.com/141522192540841/posts/3428144247211936/",2020-03-31 12:32:56+00:00,#COVID19
6154,Li_lSebastian,How weird are these times?! We all are on covid19 lockdown and the whole #joeexoctic and #CaroleBaskin fiasco is apparently everything that everybody is talking about! Fuck you WWs and great depression this is THE generation that changed everything #TigerKing,2020-03-31 12:32:53+00:00,#joeexoctic #CaroleBaskin #TigerKing
6155,AADILHA27657655,Mainstream media is tarnishing the image of muslim minority as they did in the past by runing Tablighi jamat again & again if u go by the cronology of evnts dey can't be totally blamed for the mistake hindus also held gatherings even after lockdown. fascim at peak not #COVID19,2020-03-31 12:32:46+00:00,#COVID19
6156,ABphoto2017,Day 8 #socialisolation #COVID19 #coronavirus #lockdown daily #photochallenge was to induce #motionblur 1st attempt at this and fairly happy,2020-03-31 12:32:46+00:00,#socialisolation #COVID19 #coronavirus #lockdown #photochallenge #motionblur
6157,Victoria_Jene,"It’s sad, knowing how much we Nigerians place value on Western ideologies and foreigners more than our cultural existence and fellow Nigerians. There’s nothing wrong with the OONI stating he has a cure for COVID-19, it’s unreasonable to criticize him. #ooni #COVID19 #Lockdown",2020-03-31 12:32:45+00:00,#ooni #COVID19 #Lockdown
6158,patjsullivan,". @ParlStreet's Head of Campaigns, @DannyBowman10 reflects on his personal experience of the first week of the lockdown and the subsequent impact on his mental health http://parliamentstreet.org/research/2020/briefing-note-minding-the-pandemic-the-first-week/ #coronavirus #covid19 #wellness #mentalhealth",2020-03-31 12:32:43+00:00,#coronavirus #covid19 #wellness #mentalhealth
6159,iProbono,"The decision was taken after the government of #Nepal decided to extend the #lockdown by a week until April 7 midnight, as the country reported a fifth #Covid19 positive case. #HumanRights",2020-03-31 12:32:34+00:00,#Nepal #lockdown #Covid19 #HumanRights
6160,ABVPSLBSNSU,ABVP submits memorandum to the MHRD apprising effect of lockdown on education sector Demands home delivery of midday meal ration. The 21-day lockdown in India’s decisive fight against COVID19 is having significant reverberations on the nation’s education sector. ,2020-03-31 12:32:31+00:00,
6161,tspade22,"With the revelation about how difficult it is for the newly release survivor of Covid19 in Nigeria to get the attention of NCDC official to come to her after indicating her symptom, then it shows there r internal challenges within the NCDC which may just waste the entire lockdown",2020-03-31 12:32:27+00:00,
6162,Firsteducation6,Are we putting stress on our children while in lockdown? Letter from a school principal and a teacher https://www.linkedin.com/feed/update/urn:li:activity:6650727398172131328 #schools #parents #students #COVID19 #principals #teachers #children,2020-03-31 12:32:16+00:00,#schools #parents #students #COVID19 #principals #teachers #children
